Pregunta,Respuesta,id,top_1_id,top_2_id,top_3_id
"Según el artículo de Clarín del 14 de marzo de 2022, ¿qué porcentaje de aumento en el precio de la nafta premium se aplicó desde la madrugada de este lunes?","La nafta premium tuvo un aumento del 11,5%.",1489,1489,794,182
"De acuerdo con el artículo de Clarín del 31 de enero de 2022, ¿cómo reaccionó Cristina Kirchner ante la decisión de su hijo Máximo Kirchner de renunciar a la jefatura del bloque del Frente de Todos?",Cristina Kirchner no estuvo de acuerdo con la decisión de Máximo Kirchner.,545,545,781,417
"Según el artículo de Perfil.com del 17 de marzo de 2022, ¿quiénes son los cinco presidentes y ministros argentinos que más dificultades han demostrado al hablar inglés?","Según el artículo, los cinco presidentes y ministros argentinos que más dificultades han demostrado al hablar inglés son Carlos Menem, Domingo Cavallo, Cristina Kirchner, Mauricio Macri y Santiago Cafiero.",1396,1396,1597,1432
"De acuerdo con el artículo publicado en el diario La Nación el 9 de abril de 2022, ¿cuál fue el argumento principal del juez federal Alejo Ramos Padilla para archivar la causa por la ocupación del predio del exClub Planeadores en Los Hornos?","El juez Ramos Padilla argumentó que la ocupación del predio ocurrió ""a plena luz del día"" y ""a la vista de todos"", por lo que no constituía delito.",2218,2218,2678,882
"De acuerdo con el diputado nacional Facundo Manes, ¿qué medidas estatales deberían tomarse para prevenir muertes por consumo de cocaína adulterada, según el artículo del diario Perfil publicado el 3 de febrero de 2022?","Manes propone la regulación estatal de la cocaína, incluyendo políticas de prevención y control de daños, argumentando que la evidencia de otros países demuestra la efectividad de esta medida.",746,746,660,693
"De acuerdo con el artículo del diario Clarín del 2 de febrero de 2022, ¿qué postura tomó la Sociedad Civil Abogados Solidarios ante el discurso del juez Juan Ramos Padilla en la marcha del 1 de febrero contra la Corte Suprema de Justicia?",La Sociedad Civil Abogados Solidarios repudió el discurso del juez Juan Ramos Padilla en la marcha contra la Corte Suprema y aclaró que sus dichos no representaban a la entidad.,882,882,404,3155
"Según el artículo del diario Perfil publicado el 23 de marzo de 2022, ¿qué porcentaje representó el crecimiento del uso de dinero electrónico en enero de 2022 en comparación con diciembre de 2021?","El uso de dinero electrónico en Argentina aumentó un 3,6% en enero de 2022 en comparación con diciembre de 2021.",1916,1916,1103,182
"De acuerdo con el artículo de Clarín del 9 de febrero de 2022, ¿qué medida tomaron los residentes del Club de Campo Abril en respuesta a la solicitud de la familia Moyano para alquilar una propiedad en el club?",Los residentes del Club de Campo Abril firmaron una carta dirigida al Directorio del club expresando su rechazo a la admisión de la familia Moyano.,907,907,2643,3076
"Según el artículo publicado en Perfil el 27 de junio de 2022, ¿qué fenómeno económico se considera una amenaza para la economía global, y cómo se caracteriza?","La estanflación, que se caracteriza por la combinación de inflación acelerada y un estancamiento económico, es una amenaza emergente para la economía mundial.",4393,4393,2810,970
"Según Eduardo Bolsonaro, hijo del presidente de Brasil, ¿qué similitudes existen entre la situación política de Javier Milei en Argentina y la de su padre, Jair Bolsonaro, en Brasil?","Eduardo Bolsonaro sostiene que tanto Milei como su padre fueron víctimas de ataques por parte de la izquierda, quienes lanzaron acusaciones infundadas en su contra.",2740,2740,4209,2502
